DateTime,AddedIPs,RemovedIPs
1559703807,0,2
1559707406,1,2
1559711007,0,2
1559714606,1,0
1559718207,2,3
1559721747,1,1
1559729007,2,0
1559732546,4,2
1559736147,2,0
1559739806,2,2
1559746946,1,2
1559750547,1,1
1559754147,2,0
1559757746,3,2
1559761407,1,2
1559764947,2,2
1559772147,2,0
1559775807,1,1
1559779351,1,0
1559786547,0,2
1559790207,1,2
1559793809,2,3
1559800947,1,2
1559804548,0,3
1559808150,2,0
1559811808,1,1
1559815408,1,0
1559819008,1,1
1559822547,2,0
1559826208,2,2
1559829808,0,2
1559833409,1,0
1559836947,0,2
1559840548,4,1
1559844208,2,1
1559847808,3,1
1559851407,2,2
1559858551,1,1
1559865748,2,0
1559869408,1,1
1559873008,0,2
1559876611,1,1
1559883748,2,2
1559891008,3,3
1559898208,1,0
1559901809,1,2
1559905408,0,1
1559909009,2,0
1559912612,1,2
1559916211,1,0
1559923408,2,4
1559927009,1,0
1559930608,2,2
1559934150,0,5
1559937810,2,0
1559941351,1,0
1559945009,3,0
1559948609,1,0
1559952209,1,1
1559955809,0,1
1559959349,1,2
1559962950,2,1
1559966549,3,5
1559973751,1,0
1559977410,1,2
1559981009,0,6
1559984549,1,1
1559988211,1,0
1559991749,1,2
1559995351,0,2
1560002609,3,0
1560006151,1,0
1560009749,2,3
1560017011,1,2
1560020611,1,1
1560024210,1,2
1560031410,2,4
1560034950,2,0
1560038553,0,1
1560042153,1,0
1560045752,0,1
1560049352,2,2
1560053010,3,1
1560056552,0,2
1560060150,1,0
1560063810,0,1
1560067412,1,3
1560071010,1,0
1560074550,0,2
1560078150,3,0
1560081810,1,0
1560085350,0,1
1560088953,5,3
1560092550,0,3
1560096152,1,0
1560099751,2,0
1560103411,0,4
1560107011,3,0
1560110611,1,2
1560114151,2,2
1560117751,1,0
1560121410,1,2
1560125011,0,2
1560128551,0,2
1560132211,0,1
1560135811,1,0
1560139351,6,7
1560143011,1,0
1560150211,0,2
1560153751,3,1
1560156091,0,2
1560157351,0,1
1560160953,4,0
1560164552,1,3
1560168151,2,0
1560171751,1,3
1560175412,1,0
1560178952,0,1
1560182552,2,2
1560186153,2,3
1560189753,0,2
1560196952,2,4
1560200551,2,0
1560204214,1,3
1560207814,1,1
1560214953,1,2
1560218553,0,3
1560222153,1,0
1560225753,2,4
1560229353,3,0
1560232953,1,0
1560236553,2,1
1560240154,1,2
1560243813,2,3
1560247353,1,1
1560250953,1,0
1560254613,1,2
1560258213,1,0
1560261813,1,0
1560265413,2,2
1560268953,3,0
1560272554,1,0
1560276253,1,1
1560279817,2,1
1560283362,2,0
1560290633,2,1
1560294252,1,0
1560297819,1,3
1560301355,1,0
1560304194,1,1
1560308615,1,8
1560312155,4,0
1560315779,0,1
1560319416,0,2
1560344588,4,3
1560355423,3,8
1560359062,1,2
1560377000,7,2
1560380588,1,0
1560384189,1,4
1560391384,2,3
1560394988,2,0
1560398586,2,1
1560402250,1,3
1560405816,1,2
1560413001,2,3
1560416627,2,0
1560420200,0,2
1560423811,1,2
1560434614,1,3
1560438207,0,4
1560459798,14,9
1560464371,2,1
1560466993,1,0
1560470530,1,0
1560477787,0,1
1560481390,2,1
1560484989,2,0
1560488586,2,0
1560492261,1,2
1560495828,1,3
1560502997,1,1
1560506605,3,1
1560513799,1,2
1560517411,0,1
1560520994,2,0
1560524596,0,5
1560528216,2,0
1560531796,0,3
1560535395,2,2
1560538990,3,2
1560542536,1,2
1560546193,1,1
1560549815,2,1
1560553392,1,0
1560556988,0,1
1560560590,1,0
1560564189,2,1
1560567790,2,0
1560571390,5,3
1560578624,0,4
1560582194,2,3
1560585793,2,0
1560589394,3,1
1560603793,4,3
1560607332,1,2
1560610999,0,1
1560614595,2,0
1560621797,3,3
1560625399,2,0
1560629002,2,2
1560632606,0,3
1560636234,3,0
1560639735,0,1
1560643395,1,1
1560646996,2,0
1560650592,0,2
1560654193,2,0
1560657793,3,1
1560661392,2,3
1560664993,1,0
1560668592,0,1
1560672196,0,5
1560675793,1,3
1560679393,1,0
1560682992,1,2
1560686533,4,0
1560690132,3,1
1560697392,0,3
1560700992,2,0
1560708131,0,1
1560711791,1,5
1560715393,1,0
1560718992,1,0
1560722592,1,1
1560726192,1,2
1560729792,1,0
1560736993,2,3
1560740591,3,0
1560744191,1,2
1560747732,1,1
1560751391,0,1
1560754993,3,0
1560758592,2,2
1560762192,0,1
1560765792,2,1
1560769393,1,1
1560772932,1,1
1560776593,3,0
1560780192,1,2
1560783793,1,3
1560790993,2,0
1560794593,3,2
1560798193,2,0
1560801792,1,2
1560805393,2,0
1560808992,2,2
1560812533,1,0
1560816133,1,0
1560819794,0,1
1560826993,2,0
1560830594,2,3
1560834192,1,1
1560837793,2,1
1560844993,3,6
1560848593,1,0
1560852132,1,1
1560855794,3,1
1560859394,2,1
1560862994,2,0
1560866532,1,0
1560870194,1,3
1560873793,1,2
1560877334,1,1
1560880933,1,2
1560884594,2,5
1560891793,1,1
1560895333,4,2
1560909734,1,2
1560913393,3,0
1560916994,4,4
1560920534,0,2
1560924134,1,0
1560927795,1,1
1560931404,0,2
1560934994,3,0
1560938597,0,1
